item,rating,timestamp,user
i_852,5,877531661,u_11
i_327,4,880394233,u_366
i_508,5,887772922,u_636
i_86,4,891303950,u_359
i_251,1,892388900,u_280
i_93,2,874854678,u_928
i_251,3,881370900,u_256
i_531,4,880388547,u_918
i_130,5,883756996,u_719
i_14,3,885690750,u_820
i_944,2,881105677,u_406
i_364,3,884477512,u_519
i_221,4,878438856,u_814
i_305,4,882590252,u_617
i_268,3,878854056,u_440
i_117,4,877556927,u_220
i_750,5,877892210,u_39
i_320,4,883874715,u_496
i_450,3,893049257,u_790
i_339,2,891711423,u_828
i_52,4,875348856,u_728
i_471,5,877727122,u_131
i_543,4,882164927,u_117
i_888,4,877892110,u_39
i_415,3,889242857,u_133
i_78,5,886322758,u_8
i_820,4,879197074,u_920
i_501,3,879372276,u_10
i_366,4,880174652,u_875
i_124,5,875941763,u_490
i_156,3,875309801,u_110
i_816,4,874729850,u_705
i_399,4,879467328,u_15
i_65,3,886063553,u_519
i_534,4,880174623,u_875
i_525,2,887730909,u_13
i_73,4,887744202,u_387
i_872,3,880937813,u_130
i_207,4,875320227,u_335
i_509,4,892333865,u_19
i_856,5,882955703,u_584
i_910,5,877196504,u_317
i_1015,3,877138661,u_713
i_514,5,884493279,u_877
i_366,4,876550833,u_551
i_289,3,880498746,u_740
i_31,5,886607912,u_887
i_1237,3,880889741,u_390
i_96,4,887838450,u_499
i_506,4,875680098,u_867
i_85,2,882607647,u_584
i_11,4,883263439,u_82
i_513,4,886569328,u_633
i_77,2,879987148,u_64
i_554,4,889554151,u_387
i_203,2,887747617,u_311
i_472,4,879542492,u_129
i_321,4,887730264,u_13
i_431,5,888519725,u_674
i_76,3,876369907,u_551
i_260,4,878879619,u_409
i_233,3,885810390,u_556
i_311,3,892079190,u_19
i_320,5,884636583,u_516
i_289,4,888103370,u_169
i_163,3,891498365,u_353
i_193,2,885157928,u_784
i_94,5,882139937,u_58
i_118,4,881548030,u_282
i_239,5,879846293,u_702
i_405,3,889179808,u_184
i_198,1,878962955,u_35
i_156,3,891045496,u_324
i_354,4,880078841,u_865
i_136,3,879194159,u_24
i_540,3,877363863,u_537
i_81,3,882388231,u_803
i_254,5,878437623,u_814
i_83,4,879793443,u_708
i_389,1,888556090,u_769
i_317,4,889739586,u_182
i_577,3,878850212,u_742
i_339,4,884673369,u_913
i_275,5,879442384,u_249
i_3,2,880606923,u_3
i_557,4,885668061,u_632
i_299,5,887038634,u_842
i_77,3,882072920,u_166
i_554,4,888854746,u_22
i_1206,4,876767299,u_28
i_115,3,885953537,u_615
i_9,4,884916235,u_341
i_26,5,884121612,u_896
i_289,4,882910838,u_458
i_899,1,880499254,u_740
i_258,5,878769703,u_95
i_393,4,882398313,u_442
i_282,2,881059704,u_390
i_381,5,876956232,u_158
i_36,4,885848802,u_83
i_437,1,879876975,u_310
i_161,4,891022212,u_730
i_595,2,879452693,u_102
i_68,4,886523330,u_347
i_253,4,881109060,u_55
i_554,4,890349060,u_666
i_856,4,878769703,u_95
i_57,4,887038197,u_842
i_273,3,881975687,u_752
i_159,5,881381425,u_890
i_192,3,880579107,u_181
i_356,5,887314417,u_314
i_462,2,880181191,u_885
i_492,4,880175735,u_875
i_274,4,877625294,u_813
i_479,3,891449900,u_100
i_227,2,881060412,u_70
i_864,3,886483330,u_379
i_112,4,878887810,u_2
i_176,4,875722007,u_838
i_496,4,881975061,u_752
i_131,4,879193004,u_530
i_383,5,890023722,u_576
i_452,4,877636147,u_74
i_130,5,888871874,u_587
i_33,4,879572668,u_45
i_161,3,879969415,u_482
i_83,4,878438206,u_814
i_670,2,875965171,u_706
i_106,3,881014193,u_200
i_140,4,875288934,u_912
i_866,2,880131704,u_404
i_54,2,891195476,u_477
i_369,4,881060281,u_70
i_660,4,891218289,u_348
i_47,4,877100232,u_364
i_57,2,886366731,u_688
i_557,5,882373865,u_442
i_274,1,888516814,u_674
i_357,4,891207951,u_474
i_849,2,879791160,u_96
i_135,3,884487514,u_675
i_10,4,883426944,u_692
i_621,1,888908066,u_68
i_905,2,886031678,u_534
i_580,1,882677749,u_873
i_100,3,887565138,u_650
i_189,5,881171481,u_755
i_276,5,880659894,u_763
i_40,5,880484286,u_202
i_852,2,875963921,u_706
i_479,2,879875644,u_310
i_442,4,891204627,u_831
i_635,5,884130014,u_12
i_594,1,886029083,u_534
i_126,1,889127860,u_145
i_365,2,885679411,u_46
i_1011,2,876251389,u_116
i_609,2,891036148,u_923
i_209,5,879531158,u_622
i_10,3,879221795,u_549
i_834,4,891449476,u_637
i_657,5,886008885,u_90
i_299,3,879455707,u_528
i_746,4,884064631,u_579
i_935,4,882590809,u_617
i_719,3,888882179,u_707
i_211,5,888206409,u_52
i_1027,3,877137214,u_713
i_1114,4,891385466,u_80
i_14,2,891382877,u_646
i_42,1,883216600,u_242
i_311,3,882140455,u_58
i_406,2,888203449,u_52
i_25,4,885679353,u_46
i_445,2,879373195,u_10
i_317,3,883390782,u_437
i_1024,5,891385843,u_80
i_431,4,879618385,u_531
i_251,2,890282986,u_462
i_64,4,879448233,u_611
i_60,2,881262307,u_590
i_79,2,879454950,u_498
i_46,5,884035686,u_668
i_335,3,891449532,u_485
i_219,2,875813171,u_65
i_603,3,879793715,u_96
i_1098,3,890168363,u_97
i_53,4,891547128,u_325
i_189,4,875651657,u_392
i_822,5,881961182,u_493
i_590,5,891495918,u_353
i_55,2,887160860,u_893
i_79,3,885849188,u_83
i_283,4,891035309,u_825
i_63,5,875972024,u_781
i_311,4,891699295,u_254
i_434,3,890251791,u_65
i_52,5,879962172,u_572
i_225,5,880347034,u_766
i_91,4,882425966,u_565
i_309,3,880868144,u_782
i_634,1,875635807,u_111
i_335,2,883426119,u_552
i_610,4,893047460,u_790
i_452,3,878738643,u_417
i_299,3,877226164,u_432
i_721,3,875654125,u_65
i_468,2,891389237,u_646
i_359,5,878438148,u_814
i_30,5,886433833,u_97
i_89,3,885774828,u_855
i_1383,1,885547735,u_402
i_60,5,875318267,u_335
i_182,5,882359863,u_532
i_9,5,887401496,u_112
i_561,5,879634038,u_789
i_877,5,879879807,u_881
i_110,3,891478599,u_308
i_291,3,891384285,u_646
i_754,5,889178562,u_184
i_337,3,880131187,u_173
i_874,2,893048505,u_790
i_97,3,880915528,u_237
i_258,5,885849419,u_83
i_219,3,881060305,u_70
i_568,3,891477638,u_308
i_92,3,885412840,u_109
i_136,3,886324580,u_8
i_49,4,891189511,u_927
i_476,5,879023663,u_1
i_506,5,886609390,u_887
i_247,5,892662441,u_790
i_25,3,884642932,u_715
i_707,4,874786854,u_37
i_351,2,878104438,u_121
i_1016,5,878695438,u_808
i_217,4,881694713,u_802
i_385,4,880485633,u_202
i_900,3,875744174,u_110
i_113,4,879647708,u_413
i_1079,4,882426021,u_565
i_404,3,883512813,u_251
i_288,3,891904551,u_72
i_499,4,888540041,u_765
i_642,5,883865483,u_496
i_174,4,885478668,u_375
i_576,3,881060062,u_70
i_549,4,890026939,u_576
i_635,3,891204827,u_831
i_290,4,884634533,u_516
i_764,1,881651652,u_558
i_893,1,886515240,u_97
i_58,2,891199391,u_654
i_49,5,883835026,u_764
i_209,3,875288848,u_912
i_60,3,884326274,u_786
i_136,2,891032453,u_396
i_113,3,879446110,u_377
i_404,4,884321179,u_516
i_77,2,891356549,u_930
i_63,4,886030012,u_534
i_102,4,891384754,u_80
i_40,3,875985142,u_795
i_137,2,881106682,u_406
i_347,3,885599201,u_494
